,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,kakao_keyword,kakao_map_url,kakao_store_name,kakao_star_point,kakao_star_point_qty,kakao_blog_review_txt,kakao_blog_review_qty
116,꿀꿀이마을식당,한식,한식/백반/한정식,한식 음식점업,자양동,36.3359267074382,127.448766222006,한식한식 백반 한정식한식 음식점업,자양동%20꿀꿀이마을식당,https://place.map.kakao.com/15378020,꿀꿀이마을식당,3.3,8.0,,0.0
117,만수불고기,한식,기타고기요리,한식 음식점업,온천2동,36.3585002453655,127.336503099195,한식기타고기요리한식 음식점업,온천2동%20만수불고기,https://place.map.kakao.com/9021814,만수불고기,4.0,3.0,,17.0
118,알리바바트레져,별식/퓨전요리,동남아음식전문점,기타 외국식 음식점업,온천2동,36.3628826565497,127.351709557592,별식 퓨전요리동남아음식전문점기타 외국식 음식점업,온천2동%20알리바바트레져,https://place.map.kakao.com/11520656,알리바바트레져,4.7,7.0,Best food I've tasted around. ,0.0
119,각시한우,한식,기타고기요리,한식 음식점업,노은1동,36.3674261876534,127.321104788667,한식기타고기요리한식 음식점업,노은1동%20각시한우,https://place.map.kakao.com/16960935,각시한우,4.3,7.0,"오랜만에 재방했는데, 더 깔끔하게 변했네요^^ 노은동에서 가성비 좋은 고기집",2.0
120,커피볶는꽁치,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,문화2동,36.307507735075,127.401419039241,커피점 카페커피전문점 카페 다방비알콜 음료점업,문화2동%20커피볶는꽁치,https://place.map.kakao.com/17023350,커피볶는꽁치,4.3,7.0,,0.0
121,고기나라,한식,갈비/삼겹살,한식 음식점업,신탄진동,36.4478608788735,127.433250513326,한식갈비 삼겹살한식 음식점업,신탄진동%20고기나라,https://place.map.kakao.com/10079543,오리나라,4.3,7.0,,2.0
122,덕암동쭈꾸미,일식/수산물,낙지/오징어,한식 음식점업,목상동,36.4460520825998,127.411455729498,일식 수산물낙지 오징어한식 음식점업,목상동%20덕암동쭈꾸미,https://place.map.kakao.com/19959952,아주매운공주칼국수쭈꾸미구이 신탄진점,4.5,2.0,,1.0
123,대전신탄진파리바게트,제과제빵떡케익,제과점,제과점업,신탄진동,36.4496808441902,127.429355167754,제과제빵떡케익제과점제과점업,신탄진동%20대전신탄진파리바게트,https://place.map.kakao.com/12073221,파리바게뜨 대전신탄진점,1.5,2.0,튀김이 너무 까매요  갓 튀긴 도넛 먹는데 턱이 아파요..,1.0
124,영동뜨끈이해장국,한식,해장국/감자탕,한식 음식점업,문창동,36.3234279552311,127.433696163928,한식해장국 감자탕한식 음식점업,문창동%20영동뜨끈이해장국,https://place.map.kakao.com/21333825,권영분영동뜨끈이,3.7,25.0,코로롱 이전에 매우 사랑했던 가게입니다. 21.12.03 기준 24시간운영을 하지 않고 오전 06:30오픈이라고 합니다. ,52.0
125,어돈,한식,한식/백반/한정식,한식 음식점업,탄방동,36.3440517557547,127.383337179265,한식한식 백반 한정식한식 음식점업,탄방동%20어돈,https://place.map.kakao.com/17880450,어돈,3.0,1.0,브레이크 타임 있어요. 보고 가ㅔ요~ 갔다가 못먹었어요 택시까지 타고 갔는데 ㅠ,0.0
126,외포리횟집,일식/수산물,횟집,한식 음식점업,가양1동,36.3448042583326,127.444915888273,일식 수산물횟집한식 음식점업,가양1동%20외포리횟집,https://place.map.kakao.com/1963516762,외포리횟집,1.7,3.0,"식사중 새로나온 음식접시에 거미가 기어다니고, 뻘이 가득찬 조개가 나옴 사장이라는 사람은 조개는 어쩔수 없다는 말하고 맘대로 하세요 하며 나감 최악횟집",4.0
127,이집션,양식,정통양식/경양식,서양식 음식점업,둔산2동,36.3518952870859,127.380367401077,양식정통양식 경양식서양식 음식점업,둔산2동%20이집션,https://place.map.kakao.com/8043141,이집션,1.7,3.0,,0.0
128,여주옥,한식,한식/백반/한정식,한식 음식점업,대사동,36.3213770095373,127.417628936244,한식한식 백반 한정식한식 음식점업,대사동%20여주옥,https://place.map.kakao.com/10662092,여주옥,1.7,3.0,,0.0
129,노가네아구앤대구뽈태기,한식,한식/백반/한정식,한식 음식점업,도마2동,36.3179281388922,127.373642530144,한식한식 백반 한정식한식 음식점업,도마2동%20노가네아구앤대구뽈태기,https://place.map.kakao.com/214154438,노가네아구&대구뽈태기,1.7,3.0,,0.0
130,조마루뼈다귀,한식,해장국/감자탕,한식 음식점업,오정동,36.3588374072344,127.414831789747,한식해장국 감자탕한식 음식점업,오정동%20조마루뼈다귀,https://place.map.kakao.com/27471082,조마루감자탕 오정점,1.0,2.0,직원이 불친절하고 손님 대하는게 기본이 안되어 있어요.맛도 별로,2.0
